station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12164-0,34,72.57,108.93988,103.93988,0.0,5.0,29.210526315789473,0,7542.917091599999,109.2068940771441,1814.2499999999998,-0.267014077144097,484.43028945867786,8027.3473810586775
12164-0,35,72.57,108.827385,103.827385,0.0,5.0,23.94736842105263,0,7534.75332945,109.12475267456308,1814.2499999999998,-0.2973676745630769,539.4993035760622,8074.2526330260625
12164-0,36,54.68,108.771355,103.771355,0.0,5.0,18.684210526315788,0,5674.2176914,109.07591667684083,1367.0,-0.3045616768408337,416.33581224141966,6090.553503641419
12164-0,37,54.68,108.78649,108.63649,0.0,0.15,18.526315789473685,0,5940.2432732,109.32961782103844,1367.0,-0.5431278210384392,742.4557313595463,6682.699004559546
12164-0,38,56.28,108.884834,103.884834,0.0,5.0,13.263157894736842,0,5846.63845752,109.09081352011547,1407.0,-0.20597952011547704,289.8131848024762,6136.451642322476
12164-0,39,56.28,108.73406,103.73406,0.0,5.0,8.0,0,5838.1528968,109.289221876663,1407.0,-0.5551618766630071,781.112760464851,6619.265657264851
12164-0,40,46.65,108.89588,108.89588,0.0,0.0,8.0,0,5079.992802,109.18511545892324,1166.25,-0.28923545892322977,337.3208539692167,5417.313655969217
12164-0,41,46.65,108.84613,112.55804135734073,3.711911357340721,0.0,11.526315789473685,1,5250.832629319944,109.104636717028,1166.25,-0.25850671702799843,301.48345873390315,5552.316088053847
12164-0,42,43.66,108.910484,113.910484,5.0,0.0,16.276315789473685,1,4973.331731439999,109.01154263037766,1091.5,-0.10105863037766483,110.30549505722115,5083.637226497221
12164-0,43,43.66,108.81167,113.81167,5.0,0.0,21.026315789473685,1,4969.0175122,109.07868280739883,1091.5,-0.26701280739882804,291.4444792758208,5260.4619914758205
12164-0,44,37.53,108.67548,113.67548,5.0,0.0,25.776315789473685,1,4266.2407643999995,109.03287389594765,938.25,-0.35739389594765214,335.3248228728846,4601.565587272884
12164-0,45,37.53,108.75885,113.75885,5.0,0.0,30.526315789473685,1,4269.3696405,109.03683296690802,938.25,-0.27798296690802715,260.8175187014565,4530.187159201457
12164-0,46,53.83,108.733,103.733,0.0,5.0,25.263157894736842,0,5583.94739,109.07748986699646,1345.75,-0.34448986699645445,463.5972385104786,6047.544628510479
12164-0,47,53.83,108.71505,103.71505,0.0,5.0,20.0,0,5582.9811415,108.93599967939728,1345.75,-0.22094967939727894,297.3430310488881,5880.324172548889
12165-0,0,35.72,138.17674,138.17674,0.0,0.0,20.0,0,4935.6731528,139.0038443778061,893.0,-0.8271043778061085,738.6042093808549,5674.277362180855
12165-0,1,35.72,138.23303,138.23303,0.0,0.0,20.0,0,4937.6838316,138.94795717589372,893.0,-0.7149271758937061,638.4299680730796,5576.1137996730795
12165-0,2,35.49,138.30515,138.30515,0.0,0.0,20.0,0,4908.4497735,138.9919013999618,887.25,-0.6867513999617927,609.3201796161005,5517.769953116101
12165-0,3,35.49,138.7407,138.7407,0.0,0.0,20.0,0,4923.907443,138.98415700935965,887.25,-0.24345700935964487,216.0072315543449,5139.914674554345
12165-0,4,35.07,138.13306,139.44884947368422,1.3157894736842106,0.0,21.25,1,4890.471151042106,139.0315135128118,876.75,-0.8984535128118125,787.7191173577567,5678.190268399862
12165-0,5,35.07,138.02483,143.02483,5.0,0.0,26.0,1,5015.8807881,139.05596323639864,876.75,-1.031133236398631,904.0460650124998,5919.9268531125
12165-0,6,31.5,137.87605,142.87605,5.0,0.0,30.75,1,4500.595574999999,139.03741823974602,787.5,-1.1613682397460252,914.5774887999949,5415.173063799994
12165-0,7,31.5,138.03296,143.03296,5.0,0.0,35.5,1,4505.53824,139.0084732089706,787.5,-0.9755132089705967,768.2166520643449,5273.754892064345
12165-0,8,30.27,137.67328,142.67328,5.0,0.0,40.25,1,4318.7201856,139.01887324309337,756.75,-1.3455932430933615,1018.2776867109013,5336.997872310902
12165-0,9,30.27,137.80846,142.80846,5.0,0.0,45.0,1,4322.8120842,138.20994048910575,756.75,-0.40148048910575085,303.820360130777,4626.632444330777
12165-0,10,35.31,137.63615,137.63615,0.0,0.0,45.0,0,4859.9324565,138.3654365770387,882.75,-0.7292865770387209,643.7777258809309,5503.710182380931
12165-0,11,35.31,137.6404,137.6404,0.0,0.0,45.0,0,4860.082524,138.17697490305602,882.75,-0.536574903056021,473.6614956727025,5333.744019672703
