station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12164-0,41,46.65,108.84613,0.0,0.0,0.0,112.55804135734073,3.711911357340721,0.0,11.526315789473685,0.0,1,5250.832629319944,0.0,5250.832629319944,109.104636717028,1166.25,300.0,-0.25850671702799843,301.48345873390315,0.0,301.48345873390315,5552.316088053847
12164-0,42,43.66,108.910484,0.0,0.0,0.0,113.910484,5.0,0.0,16.276315789473685,0.0,1,4973.331731439999,0.0,4973.331731439999,109.01154263037766,1091.5,300.0,-0.10105863037766483,110.30549505722115,0.0,110.30549505722115,5083.637226497221
12164-0,43,43.66,108.81167,0.0,0.0,0.0,113.81167,5.0,0.0,21.026315789473685,0.0,1,4969.0175122,0.0,4969.0175122,109.07868280739883,1091.5,300.0,-0.26701280739882804,291.4444792758208,0.0,291.4444792758208,5260.4619914758205
12164-0,44,37.53,108.67548,0.0,0.0,0.0,113.67548,5.0,0.0,25.776315789473685,0.0,1,4266.2407643999995,0.0,4266.2407643999995,109.03287389594765,938.25,300.0,-0.35739389594765214,335.3248228728846,0.0,335.3248228728846,4601.565587272884
12164-0,45,37.53,108.75885,0.0,0.0,0.0,113.75885,5.0,0.0,30.526315789473685,0.0,1,4269.3696405,0.0,4269.3696405,109.03683296690802,938.25,300.0,-0.27798296690802715,260.8175187014565,0.0,260.8175187014565,4530.187159201457
12164-0,46,53.83,108.733,0.0,0.0,0.0,103.733,0.0,5.0,25.263157894736842,0.0,0,5583.94739,0.0,5583.94739,109.07748986699646,1345.75,300.0,-0.34448986699645445,463.5972385104786,0.0,463.5972385104786,6047.544628510479
12164-0,47,53.83,108.71505,0.0,0.0,0.0,103.71505,0.0,5.0,20.0,0.0,0,5582.9811415,0.0,5582.9811415,108.93599967939728,1345.75,300.0,-0.22094967939727894,297.3430310488881,0.0,297.3430310488881,5880.324172548889
12165-0,0,35.72,138.17674,0.0,0.0,0.0,138.17674,0.0,0.0,20.0,0.0,0,4935.6731528,0.0,4935.6731528,139.0038443778061,893.0,300.0,-0.8271043778061085,738.6042093808549,0.0,738.6042093808549,5674.277362180855
12165-0,1,35.72,138.23303,0.0,0.0,0.0,138.23303,0.0,0.0,20.0,0.0,0,4937.6838316,0.0,4937.6838316,138.94795717589372,893.0,300.0,-0.7149271758937061,638.4299680730796,0.0,638.4299680730796,5576.1137996730795
12165-0,2,35.49,138.30515,0.0,0.0,0.0,138.30515,0.0,0.0,20.0,0.0,0,4908.4497735,0.0,4908.4497735,138.9919013999618,887.25,300.0,-0.6867513999617927,609.3201796161005,0.0,609.3201796161005,5517.769953116101
