station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12165-0,33,61.1,137.19487,0.094,0.094,0.0,132.10087000000001,0.0,5.0,34.473684210526315,0.0,0,8071.363157000001,0.0,8071.363157000001,138.22163125499557,1527.5,300.0,-1.026761254995563,1568.3778170057224,0.0,1568.3778170057224,9639.740974005723
12165-0,34,72.57,136.82242,0.0,0.0,0.0,131.82242,0.0,5.0,29.210526315789473,0.0,0,9566.3530194,0.0,9566.3530194,138.26109500787234,1814.2499999999998,300.0,-1.438675007872348,2610.116133032407,0.0,2610.116133032407,12176.469152432406
12165-0,35,72.57,137.2168,0.0,0.0,0.0,132.2168,0.0,5.0,23.94736842105263,0.0,0,9594.973176,0.0,9594.973176,138.2381585560124,1814.2499999999998,300.0,-1.0213585560123875,1852.9997602454737,0.0,1852.9997602454737,11447.972936245473
12165-0,36,54.68,137.15924,0.0,0.0,0.0,132.15924,0.0,5.0,18.684210526315788,0.0,0,7226.467243200001,0.0,7226.467243200001,138.19624686357744,1367.0,300.0,-1.0370068635774317,1417.588382510349,0.0,1417.588382510349,8644.055625710349
12165-0,37,54.68,137.44136,0.0,0.0,0.0,137.29136,0.0,0.15,18.526315789473685,0.0,0,7507.0915648,0.0,7507.0915648,138.23928609180885,1367.0,300.0,-0.7979260918088471,1090.764967502694,0.0,1090.764967502694,8597.856532302694
12165-0,38,56.28,137.16751,0.0,0.0,0.0,132.16751,0.0,5.0,13.263157894736842,0.0,0,7438.387462799999,0.0,7438.387462799999,138.2587805922901,1407.0,300.0,-1.0912705922901011,1535.4177233521723,0.0,1535.4177233521723,8973.80518615217
12165-0,39,56.28,137.53305,0.0,0.0,0.0,132.53305,0.0,5.0,8.0,0.0,0,7458.960054,0.0,7458.960054,138.1935318760675,1407.0,300.0,-0.6604818760675073,929.2979996269828,0.0,929.2979996269828,8388.258053626983
12165-0,40,46.65,137.2497,0.0,0.0,0.0,137.2497,0.0,0.0,8.0,0.0,0,6402.698504999999,0.0,6402.698504999999,138.18280545000363,1166.25,300.0,-0.9331054500036373,1088.234231066742,0.0,1088.234231066742,7490.932736066741
12165-0,41,46.65,137.51186,0.0,0.0,0.0,141.22377135734072,3.711911357340721,0.0,11.526315789473685,0.0,1,6588.088933819945,0.0,6588.088933819945,138.13914310988466,1166.25,300.0,-0.6272831098846439,731.5689269029659,0.0,731.5689269029659,7319.657860722911
12165-0,42,43.66,137.30408,0.0,0.0,0.0,142.30408,5.0,0.0,16.276315789473685,0.0,1,6212.996132799999,0.0,6212.996132799999,138.25295004534252,1091.5,300.0,-0.9488700453425167,1035.691654491357,0.0,1035.691654491357,7248.687787291356
12165-0,43,43.66,137.61,0.0,0.0,0.0,142.61,5.0,0.0,21.026315789473685,0.0,1,6226.3526,0.0,6226.3526,138.2144061242997,1091.5,300.0,-0.6044061242996861,659.7092846731074,0.0,659.7092846731074,6886.061884673108
